bobtfish/git-pureperl
broquaint/Gitalist
miyagawa/Catalyst-Engine-PSGI
rcaputo/bot-pastebot
jasonk/dbicx-autodoc
gshank/html-formhandler
ironcamel/Dancer-Plugin-DBIC
zby/DBIx--Class--ResultSet--RecursiveUpdate
nothingmuch/moosex-types-datetime
metacpan/metacpan-web
PerlDancer/Dancer
libwww-perl/Net-HTTP
nothingmuch/devel-globaldestruction
shadowcat-mst/t-able
rafl/module-install-authorrequires
perl-pod/pod-simple
symkat/DBIx-Class-Schema-Config
yanick/git-cpan-patch
cobbler/cobbler
mongodb-labs/mongo-perl-driver
rjbs/Test-Routine
bestpractical/carp-repl
miyagawa/cpanminus
scrottie/autobox-Core
dakkar/CatalystX-ConsumesJMS
perlancar/perl-Text-ANSITable
dakkar/CatalystX-ComponentsFromConfig
jasontang/module-pluggable-singleton
book/Devel-TraceUse
bucardo/dbdpg
petdance/webservice-solr
rjbs/Log-Dispatchouli
perl5-dbi/dbi
doy/reply
moose/MooseX-Types-LoadableClass
perl5-dbi/DBD-ODBC
doy/try-tiny
dagolden/Capture-Tiny
Perl-Toolchain-Gang/Test-Harness
perigrin/json-any
dakkar/dbic-test
chizmw/test-dbix-class-schema
dagolden/Class-Tiny
jasontang/net-stomp
chizmw/plack-app-fakeapache1
kenahoo/Path-Class
symkat/Daemon-Control
houseabsolute/Devel-StackTrace
book/DateTime-Format-Mail
dakkar/Catalyst-ActionRole-JMS
dagolden/TAP-Harness-Restricted
p5sagit/Sub-Name
travis-perl/helpers
tobyink/p5-type-tiny
Perl-Critic/Perl-Critic
moose/MooseX-Method-Signatures
freebsdgirl/ggautoblocker
andk/pause
slanning/Net-Graphite
robinhouston/PadWalker
LondonPM/London-pm-website
ranguard/Plack-Middleware-TemplateToolkit
mariuz/perl-dbd-firebird
gisle/data-dump
gitpan/IO
rjbs/Dist-Zilla
neilb/Perl-MinimumVersion
pplu/aws-sdk-perl
vanstyn/RapidApp
MoarVM/MoarVM
Raku/nqp
Raku/roast
rakudo/rakudo
moose/MooseX-Types-Structured
tobyink/p5-types-datetime
plack/Plack
tokuhirom/Test-TCP
Dual-Life/Time-Piece
postgres/postgres
irssi/scripts.irssi.org
ggreer/the_silver_searcher
Perl-Toolchain-Gang/File-Temp
kazeburo/Gazelle
dankogai/p5-encode
Raku/doc
tobyink/p5-moosex-attributetags
Test-More/test-more
miyagawa/App-PAUSE-Comaint
rhandom/perl-net-server
book/Acme-MetaSyntactic
Leont/App-ModuleBuildTiny
dakkar/Plack-Handler-Stomp
perlorg/cpanorg
pplu/botocore
p5h/perl5demo
chromatic/Modern-Perl
powerman/perl-Test-Mock-Time
codecov/codecov-perl
dylanwh/bmo
stevan/p5-MOP
TJC/Test-postgresql
sqitchers/sqitch
Perl-Toolchain-Gang/ExtUtils-MakeMaker
Dual-Life/experimental
jhthorsen/json-validator
book/Act
duffee/Mojolicious_session_example
pjcj/Devel--Cover
canndrew/future-utils
mojolicious/mojo
Perl/version.pm
softprops/serverless-rust
matrix-org/matrix-federation-tester
jcs/no_color
padsproj/pads
matrix-org/synapse
rjbs/App-Uni
p5-UV/Alien-libuv
matrix-org/matrix.org
pmqs/Compress-Raw-Zlib
pmqs/Compress-Raw-Bzip2
matrix-org/matrix-appservice-irc
pgbackrest/website
barbie/cpan-testers-www-statistics
