opencv/opencv
opencv/opencv_extra
openigtlink/OpenIGTLink
Le0nX/ModernRoboticsCpp
zeromq/libzmq
svmiller/svm-r-markdown-templates
artorg-unibe-ch/qam
pyro-ppl/numpyro
bambinos/bambi
bambinos/formulae
