TheOdinProject/curriculum
twbs/bootstrap
leonardomso/You-Dont-Know-JS
florinpop17/app-ideas
fbeline/design-patterns-JS
kallaway/100-days-of-code
trekhleb/javascript-algorithms
ShaifArfan/one-page-website-html-css-project
akashyap2013/Blooger_Website
necolas/normalize.css
chris-pearce/css-guidelines
animate-css/animate.css
sdmg15/Best-websites-a-programmer-should-visit
yangshun/front-end-interview-handbook
juliangarnier/anime
anuraghazra/github-readme-stats
codeSTACKr/codeSTACKr
greensock/GSAP
nosir/cleave.js
iamshaunjp/Complete-React-Tutorial
thecodeholic/php-developer-roadmap
iamshaunjp/php-mysql-tutorial
karlhadwen/netflix
phpro/grumphp
james-priest/100-days-of-code-log-r2
markerikson/react-redux-links
gothinkster/realworld
LaravelDaily/Laravel-Roadmap-Learning-Path
chiraggude/awesome-laravel
public-apis/public-apis
CollabCodeTech/backend-challenges
felipefialho/frontend-challenges
