JohannesBuchner/imagehash
dominiek/python-bhtsne
yangshiyu89/VIBE
ietheredge/optokineticresponse
wiseio/paratext
gordonberman/MotionMapper_mouse
de-Bivort-Lab/behavior-mapping
facebookresearch/deepmask
facebookresearch/multipathnet
karpathy/karpathy.github.io
floodsung/Deep-Learning-Papers-Reading-Roadmap
IRIM-Technology-Transition-Lab/camera-calibration
PyImageSearch/imutils
cs231n/cs231n.github.io
tensorflow/playground
paulorauber/thesne
jaskru/tensorflow-mnist-tutorial
yosinski/deep-visualization-toolbox
CatalinVoss/cnn-assignments
ml4a/ml4a-ofx
rushter/MLAlgorithms
cazala/cazala.github.io
cazala/shoal
aaren/wavelets
commaai/openpilot
commaai/research
PetoLau/petolau.github.io
andymiller/PyNIC
amueller/information-theoretic-mst
daviddao/deep-learning-book
milq/milq
SullyChen/Autopilot-TensorFlow
ericjang/tdb
mwv/zca
DmitryUlyanov/Multicore-TSNE
kylemcdonald/Parametric-t-SNE
johnhw/tsne_demo
zaburo-ch/Parametric-t-SNE-in-Keras
pierrepaleo/pypwt
sagieppel/Molecular-Dynamic-with-tensorflow
circstat/pycircstat
hmmlearn/hmmlearn
ml-lab/TensorBox
thtrieu/darkflow
gordonberman/Vorpal
rlabbe/Kalman-and-Bayesian-Filters-in-Python
jacobdavidson/Hein2015model-sim-deeplearning
uklibaite/MultiFlyMapper
BichenWuUCB/squeezeDet
DT42/squeezenet_demo
scikit-learn/scikit-learn
gordonberman/FlySongClusterSegment
gordonberman/MotionMapper
nickgeoca/cwt-tensorflow
CaesarQ/tensorflow_tsne
kuza55/keras-extras
dit/dit
ctorney/fishOfInterest
abbypa/NNProject_DeepMask
mzaradzki/neuralnets
irolaina/FCRN-DepthPrediction
rcmalli/keras-squeezenet
chasingbob/squeezenet-keras
ltrottier/keras-object-recognition
irashadow/FCN_via_Keras_Ira
theduynguyen/Keras-FCN
JihongJu/keras-fcn
titu1994/Fully-Connected-DenseNets-Semantic-Segmentation
preddy5/segnet
keras-team/keras-contrib
oarriaga/face_classification
titu1994/DenseNet
nicolov/segmentation_keras
fchollet/deep-learning-models
broadinstitute/keras-rcnn
small-yellow-duck/keras-frcnn
barongeng/mask_rcnn_pytorch
yhenon/keras-spp
kentsommer/keras-inceptionV4
osh/KerasGAN
spro/practical-pytorch
raghakot/keras-vis
philipperemy/keract
pollen-robotics/dtw
gulzi/dtw
markdregan/K-Nearest-Neighbors-with-Dynamic-Time-Warping
andymiller/pydtw
slaypni/fastdtw
amdegroot/ssd.pytorch
orobix/retina-unet
subodh-malgonde/vehicle-detection
jacobgil/keras-cam
jacobgil/keras-grad-cam
EderSantana/gumbel
EmilienDupont/vae-concrete
CharlesShang/FastMaskRCNN
jackschaedler/circles-sines-signals
Brimborough/deep-motion-analysis
kastnerkyle/deform-conv
tdeboissiere/DeepLearningImplementations
alonkipnis/BlahutArimoto
ideasman42/isect_segments-bentley_ottmann
cran/seewave
scikit-image/scikit-image
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
maxhodak/keras-molecules
ericjang/gumbel-softmax
pietz/unet-keras
zizhaozhang/unet-tensorflow-keras
Autoplectic/information-bottleneck
v-v/BiDNN
cemoody/topicsne
kailashahirwar/cheatsheets-ai
mattjj/svae
shervinea/enzynet
fyu/drn
artemyk/nonlinearIB
arayabrain/neural-coarse-graining
neurostatslab/tensortools
matterport/Mask_RCNN
360Controller/360Controller
bstriner/bayesian_dense
bornreddy/smart-thresholds
RyanJamesSchultz/Radon-Transform_Schultz-Gu
uoip/KCFpy
daniilidis-group/polar-transformer-networks
hiranumn/IntegratedGradients
XifengGuo/DEC-keras
fferroni/DEC-Keras
opencv/opencv
XifengGuo/IDEC
XifengGuo/IDEC-toy
timctho/convolutional-pose-machines-tensorflow
bearpaw/pytorch-pose
karpathy/pytorch-made
ashwhall/dsnt
roatienza/Deep-Learning-Experiments
princeton-vl/pose-hg-demo
bamos/densenet.pytorch
aleju/imgaug
lmcinnes/umap
talmo/leap
Schlumberger/joint-vae
BioroboticsLab/bb_pipeline
BioroboticsLab/bb_binary
BioroboticsLab/bb_tracking_2016
ctallec/world-models
yuanyuanli85/Stacked_Hourglass_Network_Keras
oarriaga/STN.keras
lmc2179/bayesian_bootstrap
milkha/Splines_in_Stan
alexalemi/vib_demo
berenslab/rna-seq-tsne
academicpages/academicpages.github.io
RuiShu/vae-clustering
zalandoresearch/pytorch-vq-vae
ericjang/normalizing-flows-tutorial
DeepLabCut/Docker4DeepLabCut2.0
DeepLabCut/DLCutils
DeepLabCut/DeepLabCut-Workshop-Materials
pavlin-policar/openTSNE
keras-team/keras
phoebemrdevries/Learning-aftershock-location-patterns
fizyr/keras-retinanet
google-deepmind/sonnet
openai/pixel-cnn
Rayhane-mamah/Tacotron-2
loopbio/imgstore
kkleidal/GatedPixelCNNPyTorch
ritheshkumar95/pytorch-vqvae
neocxi/pixelsnail-public
google-research/google-research
bjlkeng/sandbox
tensorflow/probability
henrysky/astroNN
lucidrains/siren-pytorch
vivekhsridhar/GitAdvanced
nicola-decao/s-vae-pytorch
LINCellularNeuroscience/VAME
fehiepsi/rethinking-numpyro
rmcelreath/rethinking
asteroid-team/torch-audiomentations
facebookresearch/deit
lucidrains/mlp-mixer-pytorch
lucidrains/perceiver-pytorch
infer-actively/pymdp
