allenwong/30DaysofSwift
MxABC/swiftScan
Grouper/FlatUIKit
AFNetworking/AFNetworking
daltoniam/Starscream
nicklockwood/iCarousel
Ahmed-Ali/JSONExport
KrauseFx/WiFiAuth
SwiftyJSON/SwiftyJSON
