GlowstoneMC/Glowstone-Legacy
spoutdev/Spout
electron/electron
webpack/webpack
dropbox/json11
open-source-parsers/jsoncpp
curl/curl
facebook/folly
yarnpkg/yarn
microsoft/clang
pytorch/pytorch
DFHack/dfhack
CleverRaven/Cataclysm-DDA
google/flatbuffers
lukka/run-vcpkg
ccache/ccache
catchorg/Catch2
microsoft/vcpkg
Ktwu/PotionomicsSolver
dmgbuild/mac_alias
4lex4nder/ReshadeEffectShaderToggler
libsdl-org/SDL
bombasticSlacks/Aspirant
Homebrew/homebrew-core
