isucon/isucon
json4s/json4s
fpinscala/fpinscala
lampepfl/dotty
scalatra/scalatra
scala/scala
isucon/isucon10-qualify
scalate/scalate
sbt/sbt-unidoc
playframework/playframework
slick/slick
foundweekends/giter8
sbt/sbt-giter8-resolver
foundweekends/conscript
earldouglas/xsbt-web-plugin
lightbend/config
isucon/isucon12-qualify
scalatra/scalatra.g8
