brosner/djangopeople.net
jgeumlek/WiimoteGlue
jgeumlek/MoltenGamepad
scottrice/pysteam
mdeguzis/SteamOS-Tools
chrippa/ds4drv
jgeumlek/MG-Files
RCyberW/Weiss_Schwarz
ericflo/startthedark
bwiklund/gamepad.js
Jays2Kings/DS4Windows
AntiMicro/antimicro
Jays2Kings/DS4Updater
minexew/Shrine
cia-foundation/TempleOS
brave/browser-laptop
skyformat99/SLSK
InputMapper/ViGEm
just-an-dev/sodogetip
lutris/lutris
rdegges/django-skel
nefarius/HidGuardian
fracton/templenes
Chocobozzz/PeerTube
bitwave-tv/bitwave
halcy/Mastodon.py
tuskyapp/Tusky
simphax/Touchmote
simphax/WiimoteLib
simphax/VMultiDll
mayeaux/nodetube
jeanphix/django-resumable
nefarius/ViGEm.Setup
nefarius/ManagedDevcon
nefarius/ViGEmBus
samehb/HIDer
kozec/sc-controller
BM85/Stopwatch
sensepost/dual-pod-shock
Pecacheu/dualshock
Pecacheu/node-hid
jarveson/hidapi
nefarius/FireShock
nefarius/Shibari
Davidobot/BetterJoy
nefarius/ViGEm.NET
Alia5/GlosSI
RandalLinden/DOOM-FX
JibbSmart/JoyShockMapper
AngryCarrot789/WPFDarkTheme
tateisu/SubwayTooter
jloehr/Wiimote-HIDAPI
Kazade/dreampi
nefarius/ViGEmClient
mdqinc/SDL_GameControllerDB
nefarius/HidHide
ad044/LainTSX
gpodder/mygpo
gpodder/mygpo-feedservice
nefarius/Nefarius.Utilities.DeviceManagement
oliverbooth/SharpOSC
