jamescooke/restapidocs
philc/vimium
heroku/heroku-buildpack-clojure
heroku/heroku-buildpack-nodejs
pylint-dev/pylint
python/mypy
jmorag/mcc
davidhalter/jedi-vim
sharu725/online-cv
pylint-dev/astroid
sandboxnu/office-hours
sp3ctum/evil-lispy
emacsorphanage/org-page
pandas-dev/pandas
emacs-elsa/Elsa
nickdrozd/reazon
abo-abo/lispy
nyobe/evil-lispy
racket/racket
doomemacs/doomemacs
jasonhemann/21FA-CS3800
Somelauw/evil-org-mode
melpa/melpa
magnars/dash.el
wandersoncferreira/code-review
tecosaur/emacs-everywhere
emacs-tree-sitter/tree-sitter-langs
copilot-emacs/copilot.el
lukaszcz/lukaszcz.github.io
nbfalcon/esh-help
emacs-tree-sitter/elisp-tree-sitter
doomemacs/themes
joshcho/ChatGPT.el
juftin/camply
continuedev/continue
