apache/commons-scxml
katharsis-project/katharsis.io
apache/freemarker
apache/freemarker-site
apache/freemarker-docgen
apache/calcite
apache/zeppelin
katharsis-project/katharsis-framework
spring-projects/spring-boot
apache/logging-log4j2
qos-ch/slf4j
apache/tomcat-maven-plugin
netologist/apache-oltu-oauth2-provider-demo
apache/commons-rng
yasserg/crawler4j
swagger-api/swagger-ui
swagger-api/swagger-core
spring-attic/spring-security-oauth
apache/nutch
InnerSourceCommons/InnerSourcePatterns
apache/jspwiki
jclouds/jclouds
apache/lucene-solr
apache/freemarker-online-tester
apache/incubator-s2graph
apache/commons-jexl
apache/jackrabbit-oak
apache/jackrabbit
sgoeschl/freemarker-cli
apache/ant
apache/freemarker-generator
apache/tika
apache/jmeter
apache/commons-vfs
apache/lucene
apache/tomcat
apache/unomi
apache/jackrabbit-filevault
apache/camel
Jahia/unomi-predictionio-plugin
apache/archiva
apache/pinot
heroiclabs/nakama
neo4j/neo4j
idea-iitd/graphgen
KonstantinosX/graphgen-project
johnwickerson/dblp-playground
