Kali-/htc-kernel-ace
pershoot/gtab-2632
teamdesire/htc-kernel-msm7x30
CyanogenMod/cm-kernel
pershoot/vision-2635
CyanogenMod/htc-kernel-pyramid
TheMuppets/proprietary_vendor_samsung
zsol/android_frameworks_base
binerry/RaspberryPi
CyanogenMod/android_bootable_recovery
CyanogenMod/android_kernel_htc_msm8960
CyanogenMod/android_device_sony_blue-common
CyanogenMod/android_kernel_sony_msm8x60
CyanogenMod/android_device_asus_tf201
CyanogenMod/android_device_asus_tf101
TheMuppets/proprietary_vendor_sony
CyanogenMod/android_kernel_sony_msm8974
CyanogenMod/hudson
tvheadend/tvheadend
TeamRegular/android_device_nvidia_shieldtablet
TheMuppets/proprietary_vendor_nvidia
TeamRegular/android_kernel_nvidia_shieldtablet
TeamRegular/android_device_nvidia_wx_na_wf
Pulse-Eight/libcec
sonyxperiadev/kernel
sonyxperiadev/device-sony-shinano
TheMuppets/proprietary_vendor_sony
MarlinFirmware/Marlin
aosp-mirror/platform_frameworks_base
sonyxperiadev/device-sony-common
sonyxperiadev/device-sony-sumire
sonyxperiadev/device-sony-kitakami
sonyxperiadev/device-sony-loire
sonyxperiadev/device-sony-sepolicy
omnirom/android_kernel_oneplus_msm8996
sonyxperiadev/vendor-sony-oss-fingerprint
sonyxperiadev/camera
suaefar/ryzen-test
auth0-samples/auth0-python-web-app
openwrt/openwrt
ory/fosite
ory/hydra
flutter/engine
flutter/flutter
