cran/hsdar
r-lib/pkgdown
r-spatial/r-spatial.org
r-lib/usethis
spack/spack
lorenzwalthert/styler
mlr-org/mlr3book
ropensci-archive/roweb2
actions/cache
gadenbuie/rsthemes
HenrikBengtsson/future
ropensci/drake
ropensci-org/rotemplate
pacificclimate/Rudunits2
rstudio/rstudio
eddelbuettel/drat
cynkra/dm
r-lib/gert
rstudio/rstudioapi
Homebrew/homebrew-cask
ThinkR-open/togglr
r-spatial/sf
duckdb/duckdb
r-dbi/DBI
HannaMeyer/CAST
ChrisRBe/PP-P2P-Parser
r-spatial/mapview
r-spatial/leafem
r-spatial/stars
r-lib/testthat
ropensci/vcr
fstpackage/fst
go-gitea/gitea
darkreader/darkreader
rstudio/renv
larskotthoff/fselector
mattermost/mattermost-docker
HenrikBengtsson/future.clustermq
x13org/x13binary
r-lib/roxygen2
hrbrmstr/RSwitch
Superalgos/Superalgos
rstudio/rticles
MilesMcBain/milesmcbain.com
lorenzwalthert/precommit
CyberPunkMetalHead/binance-trading-bot-new-coins
github/.github
portfolio-performance/portfolio
rstudio/helm
alexanderbrenning/wiml
rstudio/rstudio-docker-products
lycheeverse/lychee-action
ModelOriented/DALEX
assignUser/octolog
ropensci/targets
jeeftor/EmojiTaco
rstudio/blogdown
sebschub/FontPro
christophM/interpretable-ml-book
quarto-dev/quarto-web
awslabs/amazon-eks-ami
bottlerocket-os/bottlerocket
plausible/hosting
r-lib/actions
thegeeklab/drone-docker-buildx
woodpecker-ci/helm
woodpecker-ci/plugin-git
woodpecker-ci/woodpecker
technosophos/helm-gpg
roles-ansible/ansible_role_gitea
Noovolari/leapp
techknowlogick/xgo
renovatebot/renovate
woodpecker-ci/infrastructure
drone-plugins/drone-docker
rstudio/shiny-server
RotherOSS/otobo
Infisical/infisical
