scikit-image/scikit-image
swcarpentry/python-novice-inflammation
datacarpentry/python-ecology-lesson
SciTools/iris
realpython/python-guide
SciTools/cf-units
rlabbe/Kalman-and-Bayesian-Filters-in-Python
a8m/golang-cheat-sheet
mnielsen/neural-networks-and-deep-learning
pandas-dev/pandas
abrenaut/python-cheat-sheet
pydata/xarray
openclimatefix/metoffice_ec2
pytorch/tutorials
Sleeeepy/ImageLabler
opencv/opencv
TRI-ML/vidar
