sitaramc/gitolite
moxie0/Convergence
tpope/vim-git
nsf/gocode
kylelemons/gousb
paulsamways/gopkgsearch
libtom/libtomcrypt
PuerkitoBio/goquery
leahneukirchen/ignite
openssl/openssl
frankmorgner/openpace
gokyle/sshkeygen
snare/voltron
vmt/udis86
sirnewton01/gdblib
op/go-libspotify
AlbertVeli/cbw
tqbf/rc2
hanwen/go-mtpfs
tack/tackgo
dchest/captcha
xavierd/clang_complete
agl/pond
LukeMauldin/glibvnc
jroimartin/udis86
freebsd/pkg
bnagy/gapstone
natefinch/godocgo
agl/go-gtk
mrnugget/fzz
BatchDrake/vix
eddyb-abandoned/rust-core
rust-rosetta/rust-rosetta
uutils/coreutils
DaGenix/rust-crypto
rust-lang/rust
sfackler/rust-openssl
zargony/fuse-rs
racer-rust/racer
sodiumoxide/sodiumoxide
jeaye/ncurses-rs
rust-lang/rust-bindgen
generalelectrix/rust-osc
rust-lang/cargo
toml-rs/toml-rs
wycats/hammer.rs
ujh/hamcrest-rust
linuxfood/rustsqlite
ogham/exa
RustAudio/rust-portaudio
kimhyunkang/rust-gmp
felixge/tcpkeepalive
sneves/norx-rust
honza/vim-snippets
libpnet/libpnet
tiny-http/tiny-http
kmcallister/vgrs
rust-lang/git2-rs
alexcrichton/openssl-static-sys
alexcrichton/libssh2-static-sys
alexcrichton/curl-rust
rust-lang/flate2-rs
erik/knuckle
BurntSushi/rust-csv
rusty-shell/rust-compress
pkg/taptun
go-delve/delve
golang/go
hashicorp/raft
leahneukirchen/signify
tinylib/msgp
klauspost/cpuid
sulami/FrankenWM
flowchartsman/deadman
fatih/vim-go
sustrik/libmill
rin01/decnum
dvyukov/go-fuzz
scaleway/scaleway-cli
blakesmith/ar
mkrautz/goar
libgit2/git2go
xdave/xbps-packages
xdave/xbps
leahneukirchen/xtools
vim/vim
leahneukirchen/lr
perkele1989/light
kdave/btrfs-progs
mvdan/sh
mptre/pick
leahneukirchen/outils
vanhauser-thc/thc-hydra
rfnash/runit-void
void-linux/void-packages
rogpeppe/gohack
Duncaen/m3utils
pjd/pjdfstest
chaos/diod
