intermezzOS/kernel
dotnet/msbuild
microsoft/azure-pipelines-agent
rust-lang/rust
bachp/junit-report-rs
nickbabcock/rrinlog
crate-ci/crate-ci.github.io
rustwasm/wasm-bindgen
willsmythe/azure-pipeline-playground
microsoft/azure-pipelines-agent
microsoft/vscode
willsmythe/caching-perf-tests
zjrunner/prism
microsoft/azure-pipelines-tasks
MicrosoftDocs/azure-devops-docs
moby/buildkit
microsoft/BuildXL
alkampfergit/AzureDevopsReleaseSamples
fadnavistanmay/azure-pipelines-caching-yaml
shubham90/gh-pkg-action
shubham90/test-nugetaction
avranju/rust-async-nw-workshop
AdamNiederer/base100
dukus/digiCamControl
pepsipu/sst39sf040-module
ComputerNerd/sst39sf040-avr
microsoft/azure-devops-auth-samples
davotronic5000/PowerShell_Credential_Manager
justcoding121/titanium-web-proxy
bgavrilMS/MSAL-SingleAccount-SSO
git-ecosystem/git-credential-manager
AzureAD/microsoft-authentication-library-for-dotnet
NuGet/NuGet.Client
tdewin/refs-fclone
hneemann/Digital
dfederm/msbuild
RLBot/rlbot-rust
microsoft/CopyOnWrite
microsoft/Detours
netvl/ecoji.rs
microsoft/PowerToys
microsoft/WindowsAppSDK
microsoft/terminal
microsoft/azure-devops-node-api
master131/BrotliSharpLib
dropbox/rust-brotli
mcattle/homeassistant-kidde
corruptbear/my_sdge
gluck/il-repack
