firstcontributions/first-contributions
airbnb/css
danthareja/contribute-to-open-source
alex-seville/blanket
the-ethan-hunt/first-timers-guide
flexdinesh/dev-landing-page
flexdinesh/react-redux-boilerplate
TheOdinProject/curriculum
TheOdinProject/javascript-exercises
TheOdinProject/javascript_curriculum
wesbos/JavaScript30
TheOdinProject/learn_ruby
zloirock/core-js
harryho/ng-crm
mattlewis92/angular-calendar
harryho/vue-crm
