swcarpentry/DEPRECATED-boot-camps
djcb/mu
JuliaLang/julia
GiovineItalia/Gadfly.jl
swcarpentry/DEPRECATED-bc
ical2org-py/ical2org.py
r-lib/testthat
gohugoio/hugo
rstudio/rmarkdown
Homebrew/homebrew-cask
nhoss2/jekyll-bootstrap
ahmadia/homebrew-science
Homebrew/legacy-homebrew
yihui/runr
ypriverol/github-paper
hadley/docker
OpenConCam/OpenConCam
lgatto/SC-ICS-Proposal
shawnohare/hugo-tufte
davidcsterratt/davidcsterratt.github.io
homerhanumat/knitr-lanyon
kjhealy/kieranhealy.hugo
ypriverol/github-paper
plaindocs/travis-broken-example
tritemio/reproducible_papers
maruta/timekeeper
johnmyleswhite/sudoku.jl
johnmyleswhite/JuliaVsR
JunoLab/Weave.jl
myuhe/org-gcal.el
mathisonian/gun-sales
benmarwick/huskydown
binder-examples/julia-python
bcpierce00/unison
melpa/melpa
cebe/pdfpc-latex-notes
yihui/xaringan
IainDaviesMaths/Reproduction-Hancock
cmmid/covid-uk
jupyterhub/mybinder.org-user-guide
sje30/covid-uk
eblondel/zen4R
adamkucharski/2020-cov-tracing
ReScience/template
ImperialCollegeLondon/covid19model
ImperialCollegeLondon/covid19model
IainDaviesMaths/Hancock-Rescience-Paper
codecheckers/Spitschan2020_bioRxiv
EmmanuelCharpentier/patchSynctex
politza/pdf-tools
osc-delft/osc-delft.github.io
JuliaLang/www.julialang.org
iiepdev/GWR-in-educational-planning
dajva/rg.el
iiepdev/GWR-in-educational-planning
RayTracing/raytracing.github.io
quarto-dev/quarto-emacs
codecheckers/codecheckers
zot/microfts
singlesourcepub/jats-from-markdown
Nick-Gale/2022_Scientific_Programming_CamCompBio
quarto-dev/quarto-cli
quarto-dev/quarto-web
cdominik/cdlatex
zacwood9/.emacs.d
lhwhitehead/CNNExamples
pandoc-ext/pagebreak
andrewramsay/ical_to_gcal_sync
inflex/alterMIME
