hoelzro/pluto
memononen/nanovg
ollix/MetalNanoVG
rxi/lite
doytsujin/Sporth
linebender/druid
steinwurf/boost
foonathan/type_safe
gabime/spdlog
arximboldi/lager
arximboldi/zug
libsndfile/libsamplerate
ctabin/libzippp
nih-at/libzip
ZipArchive/ZipArchive
fmtlib/fmt
USCiLab/cereal
odevices/er-101
chaosprint/glicol
floooh/sokol
SerenityOS/jakt
seanbaxter/circle
embecosm/avr32-toolchain
EmbarkStudios/rust-gpu
RustAudio/baseview
MeadowlarkDAW/Meadowlark
markalanboyd/Audulus-DSP
areweguiyet/areweguiyet
Ardour/ardour
