duckduckgo/zeroclickinfo-goodies
qmk/qmk_firmware
ggiraldez/crystal-gl
jschx/ufetch
christoffer/pygments
ashinn/chibi-scheme
alacritty/alacritty
AlexKnauth/scribble-code-examples
memononen/nanovg
janet-lang/janet
septag/rizz
akkartik/mu
Planimeter/lopengl
sagb/alttab
hirigaray/Xlambda
CleanCut/green
zah/nim.vim
alok/notational-fzf-vim
mkropat/jumpapp
pyinfra-dev/pyinfra
nerdypepper/dijo
sebcrozet/kiss3d
larsks/undocker
anordal/selfdock
godotengine/godot
godotengine/godot-docs
hrkfdn/ncspot
markisus/zig-infix-parser
ziglang/zig
raysan5/raylib
odin-lang/Odin
