0x9090/SPFlatten
avelino/awesome-go
RealSalmon/lambda-backed-cloud-formation-kms-encryption
dan-v/awslambdaproxy
hashicorp/hcl
src-d/go-git
abiosoft/ishell
GoogleCloudPlatform/kubernetes-engine-samples
apache/beam
chrislusf/gleam
open-policy-agent/opa
go-gota/gota
coralogix/coralogix-aws-serverless
DimaGolomozy/go-coralogix-sdk
coralogix/opentelemetry-lambda
kluctl/go-embed-python
open-telemetry/opentelemetry-collector-contrib
