mathnet/mathnet-numerics
cruppstahl/upscaledb
zeromq/netmq
dotnet/fsharp
dotnet/machinelearning
fscheck/FsCheck
microsoft/LightGBM
takuya-takeuchi/LibSvmDotNet
rca22/LightGBM.Net
MikePopoloski/StringFormatter
