mojolingo/puppet-openshift
cloudfoundry-attic/cf-release
cloudfoundry/cloud_controller_ng
cloudfoundry-attic/dea_ng
OpenKit/openkit-server
rajaraodv/redispubsub
tabboud/PhotosGalleryApp
alanmeadows/cookbook-statsd
bmgdev/responsive-wedding
katyhuff/wedding
hercules-team/augeas
hashicorp/terraform
segmentio/stack
Pizzaface/Alexa-Chromecast-Skill
Pizzaface/Alexa-Chromecast-Skill-2.0
HackerShackOfficial/AI-Smart-Mirror
HackerShackOfficial/Smart-Mirror
octokit/octokit.rb
alexa-samples/skill-sample-nodejs-feed
bespoken-cookbook/streamer
digiltd/alexa-assistant
getndazn/dazn-lambda-powertools
aws-samples/aws-serverless-airline-booking
aws-samples/aws-serverless-workshops
aws-samples/create-react-app-auth-amplify
jamstack-cms/jamstack-cms
ajlanghorn/dvja
amazon-archives/aws-appsync-survey-tool
aws-amplify/amplify-cli
aws/aws-xray-sdk-node
fourTheorem/slic-starter
aws-samples/amazon-ecs-cli-sample-app
awslabs/aws-api-gateway-developer-portal
peerjako-aws/cdk-ecs-cicd
NetaNir/meerkats
aws-amplify/amplify-hosting
kolomied/PetAdoptions
aws-samples/asynchronous-messaging-workshop
stevehouel/serverless-todo-api
awslabs/aws-solutions-constructs
aws-samples/cdk-pipelines-demo
aws-samples/aws-bootstrap-kit-examples
domcars0/DomoticzVeolia
aws-samples/aws-proton-cloudformation-sample-templates
aws-samples/aws-proton-sample-lambda-crud-service
aws/aws-cdk
aws/aws-cdk-rfcs
daaru00/eliot
aws-samples/retail-demo-store
aws-amplify/aws-sdk-android
onap/so
quartz-scheduler/quartz
opensearch-project/OpenSearch
onap/sdc
devfest-bugbust/amazon-codeguru-reviewer-sample-app
aws-samples/one-observability-demo
aws-samples/i-love-my-local-farmer
aws-samples/aws-ecs-cicd-terraform
jomjol/AI-on-the-edge-device
electricitymaps/bloom-contrib
aws-samples/amazon-kinesis-timestream-grafana
bluehalo/graphql-fhir
aws/jsii
pkg-size/action
aws-samples/cdk-lambda-powertools-python-layer
aws-samples/aws-analytics-reference-architecture
apollographql/apollo-federation-subgraph-compatibility
aws-samples/water-tank-digital-twin
aws-samples/powertools-for-aws-lambda-workshop
awslabs/landing-zone-accelerator-on-aws
renemarc/balena-flic
seppevs/migrate-mongo
xip-online-applications/cube-js-mongo-atlas-driver
embeddable-hq/embeddable_starter_basics
aws-samples/amplify-next-template
