MatrexsVigil/phc2foodcore
MatrexsVigil/phc2crops
MatrexsVigil/phc2trees
hackwellfox/TeaAndBiscuits
AlexModGuy/Ice_and_Fire
RoShioLeo/After-the-Drizzle-Document
Cosmoledo/NuclearCraft_Helper
BobMowzie/MowziesMobs
Tfarcenim/Not-Enough-RTG
DimensionalDevelopment/VanillaFix
Corosauce/SkyLanterns
defeatedcrow/HeatAndClimateMod
TechDweebGaming/Bluestone
Redfire75369/Simple-Machinery
Furgl/Stupid-Things
mekanism/Mekanism
BluSunrize/ImmersiveEngineering
ryanhanwu/How-To-Ask-Questions-The-Smart-Way
Tslat/AoA-InfoBundle
VonZeeple/MapleSyrup-1.12.2
Determancer/Minecraft-FPS-Hack
RoBrit/Snad
TerraformersMC/Campanion
ochotonida/artifacts
vectorwing/FarmersDelight
HyperPigeon/Blood-in-the-Water
TUsama/Create.Wiki
CFPAOrg/Minecraft-Mod-Language-Package
TheTurkeyDev/ChanceCubes
Phylogeny/JEIEnchantmentInfo
BuiltBrokenModding/Atomic-Science
Hokorizero/MessageRepeat
williambl/haema
jadc/sandbag
Nic4Las/Minecraft-Enderite-Mod
Tfarcenim/crafting-station
SilverAndro/lava-fishing
TelepathicGrunt/Bumblezone-Quilt
natanfudge/Not-Enough-Crashes
SlimeKnights/TinkersConstruct
ITotallyExist/Melon-Slabs-Combined
Lykrast/Glassential
anuraghazra/github-readme-stats
tomdodd4598/NuclearCraft
CosmicParticl/conjurerscookbook
LWHK/LWHK-Simplified-Chinese-Translation
team-abnormals/boatload
Glitchfiend/BiomesOPlenty
team-abnormals/bamboo-blocks
TerraformersMC/ModMenu
SonarSonic/reactorbuilder
CFPAOrg/Minecraft-Mod-Language-Package
shimohq/chinese-programmer-wrong-pronunciation
FuGu0416/Fishs_Undead_Rising
Kyomotoi/AnimeThesaurus
Immersive-Geology-Team/Immersive-Cooking
quek04/The-Undergarden
SPGoding/spx
AlexModGuy/AlexsMobs
warmthdawn/HerodotusUtils
friendlyhj/BilingualName
CoFH/ThermalExpansion-1.12-Legacy
Cyl18/NaquadahFix
kappa-maintainer/WrapFix
Lach01298/QMD
GBLodb/GBLodb
