gesellix/gradle-debian-plugin
GitbookIO/gitbook
Fornoth/spotify-connect-web
O2-Czech-Republic/proxima-platform
apache/beam
apache/hive
oracle/opengrok
apache/flink
scoverage/gradle-scoverage
allegro/axion-release-plugin
jetlore/spark-opentsdb-sink
confluentinc/kafka-connect-hdfs
apache/twill
linkedin/pygradle
