gargsms/acm-svnit
timvideos/streaming-system
feross/Fullscreen-API-Attack
etnlbck/scottmotte.github.com
samyakbhuta/bodhi
django/django
akash3379/acm.php.1
hackfest/hackfest
wdlsvnit/InOut
archesproject/arches
pschfr/start
acherunilam/dot-files
agarrharr/awesome-cli-apps
molly/GorillaBot
HabitRPG/habitica
mandatoryprogrammer/TrustTrees
Homebrew/brew
Homebrew/homebrew-core
jenkinsci/jenkins
Linuxbrew/brew
Elucidation/tensorflow_chessbot
graemephi/imgur-uploader
ajaybhat/Tensorflow-For-Beginners
voxpupuli/puppet-jenkins
blacknbunny/CVE-2018-10933
apache/lucene-solr
CreateRemoteThread/esp8266-karma
Katee/git-bomb
t0kx/exploit-CVE-2016-9920
reynico/raspberry-noaa
insecurityofthings/jackit
bitcraze/crazyradio-firmware
BastilleResearch/nrf-research-firmware
furrtek/portapack-havoc
jamesshao8/portapack-havoc-modified
intezer/MoP
krivard/delphi-covidcast-hackathon-2020
MLH/mlh-localhost-icon-blockchain-casino
dskarlatos/MicroScope
landley/mkroot
google/syzkaller
openfaas/store
openfaas/faas
traefik/traefik-helm-chart
axboe/liburing
cloudsecurityalliance/gsd-database
cloudsecurityalliance/gsd-tools
mitre-cyber-academy/2022-ectf-insecure-example
hexdump0815/imagebuilder
SunHao-0/healer
AFLplusplus/AFLplusplus
novafacing/libc-fuzzer
ossf/osv-schema
mitre-cyber-academy/2023-ectf-insecure-example
ibhagwan/fzf-lua
ratfactor/ziglings
