Uzmani/survey_beard
mule-deer-2013/CineHerd
mule-deer-2013/jailbird
mule-deer-2013/jailbird
red-spotted-newts-2014/haunted
zimkies/sudoku-fight-club
tldr-pages/tldr
pokowaka/atreus-firmware
dhowland/EasyAVR
qmk/qmk_firmware
kiibohd/controller
rapid7/metasploit-framework
kiibohd/kll
leebaird/discover
offensive-security/exploitdb
hak5/bashbunny-payloads
tmk/whitefox
mzpqnxow/fernmelder
haad/proxychains
EmpireProject/Empire-GUI
kolide/fleet
clong/DetectionLab
EmpireProject/Empire
ustayready/CredSniper
menzow/slurp
function61/holepunch-client
mathiasbynens/kali-linux-docker
Ne0nd0g/merlin
kgretzky/evilginx2
vyrus001/go-mimikatz
bigkraig/go-ntlm
zserge/lorca
jpillora/chisel
Laeeth/GoMet
cytopia/ansible-debian
cytopia/linux-timemachine
cytopia/autorunner
cytopia/thunar-custom-actions
cytopia/ffscreencast
cytopia/i3-utils-bin
cytopia/i3-utils-systemd
djhohnstein/polarbearrepo
gocaio/goca
Corwind/termite-install
dirkjanm/impacket
hak5/nano-tetra-modules
BishopFox/GitGot
sveltejs/template
rapid7/go-get-proxied
ropnop/kerbrute
stricture/hashstack-cli
atredispartners/flamingo
ilius/go-askpass
ret2win/siph0n-rootkit
killvxk/Doh365
ropnop/go-clr
urbanadventurer/WhatWeb
aprice/gox
helloyi/go-sshclient
scottkiss/gosshtool
kevinburke/ssh_config
eth0izzle/shhgit
cedrickring/golang-action
jrizza/haveibeenpwned
nbeede/BoomBox
almzayyen/docker-cuckoo
cuckoosandbox/cuckoo
Skadezy/GPC
W11cE/XIM-Link
optiv/ScareCrow
xitongsys/pangolin
xitongsys/ethernet-go
xitongsys/ptcp
jllangley/responseforce
djhohnstein/cliProxy
knownsec/PortForward
rhazdon/hugo-theme-hello-friend-ng
subspacecommunity/subspace
julienschmidt/httprouter
rofl0r/proxychains-ng
redcanaryco/atomic-red-team
rvazarkar/go-winacl
rvazarkar/go-winacl
codingfinest/neo4j-go-ogm
BRO3886/gtasks
pawelmalak/flame
aschzero/hera
vmstan/gravity-sync
free/concurrent-writer
BloodHoundAD/BloodHound
dirkjanm/CVE-2020-1472
blinkenl1ghts/donloader
castwide/solargraph
tnpitsecurity/nerftoken-go
nicocha30/ligolo-ng
WangYihang/Platypus
x1unix/docker-go-mingw
drone-plugins/drone-gitea-release
BishopFox/sliver
wader/readline
HighSchoolSoftwareClub/Windows-Research-Kernel-WRK-
th3k3ymak3r/minbeacon
franklesniak/HOTAS-HOSAS_Control_Mapping_Template_Files
Homebrew/homebrew-core
Homebrew/homebrew-cask
ashirt-ops/ashirt-server
ohpe/juicy-potato
khuedoan/homelab
Monirzadeh/shiori
KinesisCorporation/Adv360-Pro-ZMK
inlets/inlets-operator
toboshii/hajimari
xct/xc
