mumax/3
jakevdp/nufftpy
matplotlib/matplotlib
sympy/sympy
numba/numba
dexpota/kitty-themes
swaywm/sway
numpy/numpy-tutorials
scipy-conference/scipy_proceedings
AcademySoftwareFoundation/openvdb
ray-project/ray
conda-forge/qhub-dask-feedstock
joerick/pyinstrument
bokeh/ipywidgets_bokeh
ray-project/xgboost_ray
ray-project/lightgbm_ray
mesonbuild/meson-python
uncrustify/uncrustify
numpy/numpy
deshaw/nbstripout-fast
astral-sh/ruff-lsp
numpy/numpy-user-dtypes
pandas-dev/pandas
ngoldbaum/pandas
githubdoe/DFTFringe
jupyterlab/jupyterlab_server
deshaw/jupyterlab-execute-time
deshaw/jupyterlab-limit-output
deshaw/jupyterlab-pyflyby
deshaw/jupyterlab-skip-traceback
deshaw/ksmm
deshaw/jupyterlab-notify
deshaw/versioned-hdf5
jupyterlab/jupyterlab
jupyter-server/jupyter-resource-usage
holoviz/pyviz_comms
davidlewistoronto/plop
melissawm/minimalsphinx
executablebooks/MyST-NB
observational-dev/oawiki
pybamm-team/PyBaMM
holoviz/panel
pydata/pydata-sphinx-theme
click-contrib/sphinx-click
sphinx-doc/sphinx
bobo-baggins/AdventureBuddy
jupyter/nbclassic
h5py/h5py
scipy/scipy
