warren-bank/Android-WebMonkey
nhirokinet/bluelineconsole
Alcidauk/CineLog
cyanomiko/dcnnt-android
billthefarmer/diary
julian-klode/dns66
SufficientlySecure/document-viewer
jorik041/DroidRec
easylist/easylistchina
HenriDellal/emerald-dialer
zouroboros/feed-watcher
KillerInk/FreeDcam
henrypp/freeshooter
gpodder/gpodder
msimonides/homerplayer
erickutcher/httpdownloader
niendo1/ImapNotes3
bpellin/keepassdroid
anthonycr/Lightning-Browser
OmGodse/Notally
farmerbb/Notepad
OlauncherCF/OlauncherCF
emanuele-f/PCAPdroid
leonlatsch/Photok
markusfisch/PieLauncher
SecUSo/privacy-friendly-finance-manager
arduia/ProExpense
dkrivoruchko/ScreenStream
henrypp/simplewall
geekuninstaller/translations
jkuester/unlauncher
rcaelers/workrave
Maxstupo/ydl-ui_i18n
