MikeYankeeOscarBeta/PiFMPlay
CyanogenMod/android_device_lge_w7
CyanogenMod/android_kernel_lge_msm8226
CyanogenMod/android_hardware_qcom_display-caf-new
CyanogenMod/android_hardware_qcom_media-caf-new
CyanogenMod/android_device_qcom_common
rilmodem/ofono
sonyxperiadev/timekeep
ubports/devices.ubports.com
varunchitre15/android_device_fairphone_fp2
ubports/android_kernel_fairphone_fp2
ubports/android_frameworks_native
ubports/device-files
ubports/android_system_core
libhybris/libhybris
RPi-Distro/firmware
Halium/android_build
ssuthon/bear-rest
vpulim/node-soap
facebook/react-native
thomseddon/node-oauth2-server
fidm/asn1
Winetricks/winetricks
Leonidas-from-XIV/node-xml2js
markondej/fm_transmitter
LineageOS/android_device_fairphone_FP2
LineageOS/android_kernel_fairphone_msm8974
Halium/halium-devices
Halium/docs
Halium/initramfs-tools-halium
ubports/libhybris
ubports/qtubuntu-camera
ubports/android_frameworks_av
twistlock/authz
sailfishos/gst-droid
sailfishos/droidmedia
Halium/android
Halium/audioflingerglue
ubports/build-tools
ubports/lxc-android-config
ubports/pulseaudio-packaging
ubports/pulseaudio-modules-droid
ubports/crossbuilder
LineageOS/android_hardware_qcom_camera
Halium/lxc-android
ubports/timekeeper
ubports/systemd-packaging
ubports/isc-dhcp-packaging
ubports/mir-android-platform
ubports/aethercast
ubports/wds
ubports/apparmor-easyprof-ubuntu
ubports/unity8
mika/jenkins-debian-glue
ubports/qtbase-opensource-src-packaging
ubports/qtubuntu-sensors
ubports/qtubuntu
ubports/urfkill-packaging
ubports/qtdeclarative-opensource-src-packaging
ubports/ubuntu-ui-toolkit
ubports/mir
ubports/trust-store
bergotorino/bt-debugging-tools
ubports/qtmir
ubports/bluez-packaging
canonical/mir
ubports/wpa
ubports/libertine
ubports/ubuntu-app-launch
ubports/system-settings
ubports/unity-system-compositor
ubports/xmir
ubports/indicator-network
Halium/android_vendor_cm
ubports/indicator-sound
debian-pm-tools/orig-tar-xzs
ubports/ubports-qa-scripts
ubports/hfd-service
ubports/morph-browser
ubports/keyboard-component
ubports/repowerd
systemd/systemd
gjsify/ts-for-gir
ubports/ubuntu-touch-meta
romgrk/node-gtk
Halium/hybris-patches
sonyxperiadev/macaddrsetup
fredldotme/device-sony-common
fredldotme/device-kernel-loire
HelloVolla/android_kernel_volla_mt6763
ubports/telepathy-qt-packaging
ubports/telephony-service
ubports/telepathy-ofono
aptly-dev/aptly
open-vsx/publish-extensions
traefik/traefik-helm-chart
ytdl-org/youtube-dl
yt-dlp/yt-dlp
mysticatea/event-target-shim
NixOS/nixpkgs
HelloVolla/android_device_volla_yggdrasil
torvalds/linux
KlasenK/website
freeCodeCamp/Developer_Quiz_Site
sailfishos/usb-moded
ZoneMinder/zoneminder
OpenPrinting/cups-snap
fredldotme/device-sony-suzu
AyatanaIndicators/qmenumodel
AyatanaIndicators/ayatana-indicator-bluetooth
AyatanaIndicators/ayatana-indicator-session
martinpitt/python-dbusmock
waydroid/waydroid-sensors
ubuntu/aad-auth
jc-kynesim/rpi-ffmpeg
netdata/dashboard
netdata/netdata
raspberrypi/linux
