HugoBlox/theme-academic-cv
pymc-devs/pymc
pyro-ppl/numpyro
dfm/tinygp
JaxGaussianProcesses/GPJax
aesara-devs/aesara
nmfs-opensci/quarto-thesis
sparklabnyc/sharp_bayesian_environmental_health_2023
athowes/beyond-borders
pymc-devs/pymc-examples
probml/dynamax
pymc-devs/pymc-experimental
