LostRuins/lite.koboldai.net
henk717/KoboldAI
Haidra-Org/AI-Horde
ggerganov/llama.cpp
ggerganov/ggml
db0/KoboldAI-Horde-Bridge
PygmalionAI/aphrodite-engine
Haidra-Org/AI-Horde-Worker
Julow/Unexpected-Keyboard
