jupyter/notebook
CH-Earth/summa
takluyver/cite2c
environmentalscience/essm
sympy/sympy
pyet-org/pyet
softwareunderground/awesome-open-geoscience
conda-forge/staged-recipes
open-hydrology/open-hydrology.github.io
