RyanFitzgerald/devportfolio
microsoftgraph/msgraph-typescript-typings
DefinitelyTyped/DefinitelyTyped
microsoftgraph/msgraph-sdk-javascript
aws/aws-sdk-js-v3
LuChen-Microsoft/Chat-Signaling-Sample
Azure/azure-sdk-for-net
