eraserhd/gd
facebookarchive/flashcache
buildsome/buildsome
pbrisbin/hakyll
haskell/happy
ghc/ghc
torvalds/linux
bsl/bindings-GLFW
lamdu/lamdu
rust-lang/rust
lamdu/Algorithm-W-Step-By-Step
nbouscal/poker.hs
dpwright/HaskellNet-SSL
ekmett/free
qnikst/HaskellNet
jwiegley/gitlib
jwiegley/libgit2
luqui/graphics-drawingcombinators
sdiehl/write-you-a-haskell
Infinidat/infi.jira_cli
fpco/inline-c
bazelbuild/bazel
reflux/refluxjs
haskell-lang/haskell-lang
PistonDevelopers/piston-examples
gfx-rs/gfx
rust-lang/rust-by-example
preservim/vim-markdown
rust-lang/rust.vim
qpkorr/vim-bufkill
exg/rxvt-unicode
LucHermitte/local_vimrc
alacritty/alacritty
tmux/tmux
ap/vim-css-color
dense-analysis/ale
clap-rs/clap
rust-lang/cargo
ogham/rust-ansi-term
redox-os/termion
tbg/hlc-rs
kubo39/linux_aio
rust-lang/rfcs
tummychow/git-absorb
junegunn/gv.vim
junegunn/vader.vim
Vimjas/vim-testbed
rust-lang/reference
neovim/neovim
airblade/vim-gitgutter
rhysd/conflict-marker.vim
AndrewRayCode/vim-git-conflict-edit
amadeus/vim-css
actix/actix
rust-windowing/winit
jsgf/eventfd-rust
sile/sloggers
immunant/linux-kernel-module-rust
rust-lang/compiler-builtins
rust-lang/this-week-in-rust
llvm/llvm-project
crossterm-rs/crossterm
chronotope/chrono
ohmyzsh/ohmyzsh
getzola/zola
getzola/even
zsh-users/zsh
rhysd/rust-doc.vim
bincode-org/bincode
ron-rs/ron
flier/rust-fasthash
wyyerd/google-signin-rs
serde-rs/json
bozaro/lz4-rs
time-rs/time
adrienverge/openfortivpn
xfce-mirror/xfwm4
dandavison/delta
kergoth/git-deps
junegunn/fzf
rust-lang/git2-rs
yewstack/yew
chinedufn/dipa
benhall-7/diff-struct
benhall-7/diff-derive
aaranxu/adidoks
abdolence/slack-morphism-rust
RSS-Bridge/rss-bridge
siku2/rust-monaco
flatcar-archive/coreos-overlay
lettre/lettre
hniksic/rust-subprocess
oxidecomputer/third-party-api-clients
mathiversen/html-parser
vmware/photon
mehcode/config-rs
snapview/tokio-tungstenite
signalapp/Signal-Server
servo/html5ever
kuchiki-rs/kuchiki
emilk/egui
