yandexdataschool/nlp_course
acheong08/ChatGPT
mryab/efficient-dl-systems
yandexdataschool/Practical_DL
learning-at-home/hivemind
petals-infra/health.petals.dev
bigscience-workshop/petals
huggingface/peft
TimDettmers/bitsandbytes
huggingface/transformers
huggingface/huggingface_hub
huggingface/accelerate
