OpenFlocks/static_snippy_site
freifunk-flensburg/statische_ip_zuordnung
travis-ci-examples/php-example
puphpet/puphpet
ffnord/ffnord-example
freifunk-kiel/ffki-blog
owenconti/livecodingtv-bot
twitchinstallsarchlinux/twitch-master
ffnord/ffnord-puppet-gateway
hangoutsbot/hangoutsbot
ffac/gluon-ssid-changer
PiNet/PiNet
CCRRX/doorstate
CCRRX/videograbber
deStrO/eBot-CSGO-Web
Freifunk-Nord/nord-zone
tcatm/pyddhcpd
scotch-io/scotch-io.github.io
freifunk-gluon/gluon
Freifunk-Nord/nord-ffffng
yui/yuidoc
finnp/gitter-irc-bot
OgarProject/Ogar
Apostolique/Agar.io-bot
letsencrypt/boulder
KenMacD/wdpassport-utils
CyanogenMod/android
d-zone-org/d-zone
zyedidia/micro
GitHowTo/githowto-content
railsware/bozon
GatoLoko/Wattpad2Epub
minbrowser/min
bugladen/NadekoBot
kraj/meta-openwrt
balena-io-examples/balena-nodejs-hello-world
balena-io-experimental/balena-kubernetes
mongodb/mongo
marius311/boinc-server-docker
4ndr3/nord-community-api
mail-in-a-box/mailinabox
PHLAK/docker-hangoutsbot
jimsug/pokemon-hangouts-bot-plugins
home-assistant/home-assistant.io
balena-io/docs
PrismarineJS/flying-squid
openaustralia/mapit-australia-docker
mrnugget/opencv-haar-classifier-training
johan12345/wo-ist-markt.github.io
GitbookIO/nuts
davidferguson/pibakery-blocks
davidferguson/pibakery
ArekSredzki/electron-release-server
freifunk-gluon/packages
YouNow/electron-crash-report-server
pczarn/rustboot
pedrocesarti/internet-speedtest-docker
docker/docker-py
Moorviper/ffhef-fw-dl
jascosius/web-piraten
volume4k/MicroPaymentChip
tinkerlog/node-pixel
arirusso/d3-audio-spectrum
pebcak/ingress-ice
iitc-project/ingress-intel-total-conversion
sebinside/CraftingKeys
openai/universe
sZLukas001/YouTubeChatOverflow
JetBrains/swot
openwrt/packages
matrix-org/matrix-python-sdk
okvic77/docker-airtime
