Sharpie/RTikZDevice
tidyverse/dplyr
r-lib/testthat
KentonWhite/ProjectTemplate
tutumcloud/tutum-debian
tudo-r/makeR
tidyverse/tidyr
SergiusTheBest/plog
r-lib/vctrs
tidyverse/tibble
jennybc/here_here
r-lib/rlang
rtomayko/git-sh
tidyverse/dbplyr
r-lib/pillar
r-lib/pkgapi
r-dbi/odbc
ropensci/tic
roeme/shgit
tidyverse/blob
bergant/datamodelr
duckdb/duckdb
tidyverse/ggplot2
cynkra/dm
r-dbi/backends
r-lib/here
r-dbi/backends
r-dbi/DBI
r-dbi/DBItest
r-dbi/dblog
r-dbi/r-dbi.org.old
r-dbi/RKazam
r-dbi/RMariaDB
r-dbi/RSQLite
r-prof/jointprof
r-prof/proffer
r-prof/profile
tidyverse/hms
ropensci-archive/travis
jefferislab/RANN
sellorm/plumber-uploader
rstudio/plumber
thomasp85/farver
r-lib/revdepcheck
r-lib/prettyunits
kforner/mysql_ssl_r_connect_bug
r-lib/usethis
poissonconsulting/term
poissonconsulting/chk
poissonconsulting/nlist
dirkschumacher/defmacro
poissonconsulting/universals
gperftools/gperftools
rich-iannone/DiagrammeR
r-lib/roxygen2md
jmsigner/amt
s-fleck/dint
UZH-PEG/dmdScheme
r-lib/devtools
r-lib/rematch2
tidymodels/rsample
cran/convergEU
sfirke/janitor
r-lib/remotes
tidyverse/tidyverse.org
cynkra/dm
r-spatial/sf
pachadotdev/casen
r-transit/tidytransit
ankane/dbx
l-ramirez-lopez/prospectr
poissonconsulting/klexdatr
duckdb/duckdb
poissonconsulting/mcmcr
rstudio/rmarkdown
r-lib/pkgload
r-lib/roxygen2
poissonconsulting/extras
tidyverse/ggplot2
ropensci/jstor
r-lib/pkgdown
r-hub/sysreqs
rstudio/renv
r-devel/r-svn
ianlancetaylor/libbacktrace
r-windows/rtools-packages
r-lib/downlit
gcc-mirror/gcc
RcppCore/RcppParallel
msys2/MINGW-packages
ropensci/dittodb
zeitgeist87/procmaps
renkun-ken/formattable
rstudio/gt
r-lib/waldo
r-lib/crayon
r-lib/fs
tidyverse/magrittr
oauth2-proxy/oauth2-proxy
r-lib/gh
finddx/FINDCov19TrackerData
ankane/setup-sqlserver
r-lib/callr
r-universe-org/cran-to-git
jameskbride/cmake-hello-world
hendrikmuhs/ccache-action
ankane/setup-mariadb
ropensci-books/drake
r-lib/debugme
r-lib/evaluate
r-lib/lifecycle
google/copybara
jtleek/datasharing
hbenl/vscode-test-explorer
ropensci/skimr
r-quantities/units
REditorSupport/vscode-R
meakbiyik/vscode-r-test-adapter
rishirdua/awesome-code-formatters
r-quantities/quantities
r-quantities/errors
tidyverse/haven
ropensci/targets
pat-s/rstudioSettings
cschleiden/vscode-github-actions
psolymos/clickrup
jeroen/jsonlite
cykerway/complete-alias
vakata/jstree
x13org/x13prebuilt
x13org/x13binary
lorenzwalthert/touchstone
christophsax/seasonal
rstudio/shiny
mgirlich/tibblify
tidymodels/finetune
nlmixrdevelopment/RxODE
RConsortium/S7
davidchall/bignum
brodieG/fansi
lvjr/tabularray
moodymudskipper/flow
ropensci/RNeXML
moodymudskipper/tricks
github/docs
haozhu233/kableExtra
nbenn/prt
duckdb/duckdb-web
unicode-org/icu
apache/arrow
ActivityWatch/aw-watcher-window
igraph/rigraph
r-dbi/RMariaDB
lucarraro/traudem
MightyCreak/diffuse
mgirlich/RSQLite
duckdb/duckdb
paleolimbot/radbc
rstudio-education/hopr
oscarbaruffa/BigBookofR
b-rodrigues/rap4mads
b-rodrigues/modern_R
igraph/igraphdata
Antonov548/rigraph2
hadley/adv-r
Layalchristine24/simulreturns
pachadotdev/eflm
ibis-project/tpc-queries
CerebralMastication/R-Cookbook
tidyverse/tidyverse
igraph/stimulus
tidyverse/design
ClaudioZandonella/trackdown
wch/r-debug
apache/arrow-adbc
apache/arrow-nanoarrow
ropensci/drake
poissonconsulting/tmbr
poissonconsulting/smbr
nacnudus/unpivotr
lionel-/codegrip
mpadge/typetracer
x13org/x13binary
bcgov/ssdtools
MichaelChirico/r-mailing-list-archive
shikokuchuo/mirai
wasm3/wasm3
jlacko/RCzechia
allisonhorst/palmerpenguins
briatte/ggnetwork
asalavaty/influential
damianobaldan/riverconn
tidyverse/glue
mbojan/intergraph
duckdb/extension-template
thomasp85/tidygraph
shchurch/countland
r-hub/containers
posit-conf-2024/workshops
