eduardohenriquearnold/tdcfloripa2016
collective/collective.usermanual
tox-dev/tox
pytest-dev/pytest
nubank/fklearn
python-attrs/attrs
regro-cf-autotick-bot/virtualenv-feedstock
enthought/graphcanvas
tigarmo/gltut
regro-cf-autotick-bot/breathe-feedstock
click-contrib/sphinx-click
ESSS/hookman
conda-forge/python-chromedriver-binary-feedstock
conda-forge/barril-feedstock
Azure-Samples/azure-python-labs
dry-python/returns
python-trio/trio
conda-forge/fastapi-feedstock
conda-forge/staged-recipes
py-cov-action/python-coverage-comment-action-v2-example
unionai-oss/pandera
WillianFuks/tfcausalimpact
prefix-dev/pixi
