git/git
xyoye/DanDanPlayForAndroid
CodingGay/BlackDex
alphaSeclab/android-security
Justin62628/Squirrel-RIFE
megvii-research/ECCV2022-RIFE
Chainfire/libcfsurface
ChickenHook/RestrictionBypass
fuyufjh/GraphicBuffer
qbittorrent/qBittorrent
Leifzhang/AndroidAutoTrack
nelhage/llama
0xbadfca11/reflink
majd/ipatool
OpenTabletDriver/OpenTabletDriver
InfinityGhost/HIDSharpCore
picoe/Eto
OpenTabletDriver/OpenTabletDriver.Packaging
dotnet/runtime
developit/workerize-loader
aws/aws-sam-cli
faster-cpython/ideas
Laidout/laidout
Laidout/laxkit
Homebrew/homebrew-core
Homebrew/homebrew-cask
Homebrew/brew
coreutils/coreutils
bilibili/ijkplayer
bilibili/FFmpeg
ppy/osu-framework
ppy/osu
yuq/gfx
flutter/engine
scytheStudio/Flutter-vs-React-Native-vs-Qt
lutzroeder/netron
huggingface/diffusers
replicate/cog
nico1510/registry-explorer-extension
microsoft/hidtools
adlr/formulatenext
mozilla/pdf.js
