msoos/cryptominisat
psaikko/LMHS
martinring/hakka
Wandmalfarbe/pandoc-latex-template
nix-community/home-manager
chisui/propagators
nix-community/lorri
rust-build/rust-build.action
NixOS/nixpkgs
fzakaria/mvn2nix
NixOS/nixos-hardware
vavr-io/vavr-jackson
DefinitelyTyped/DefinitelyTyped
