dataarts/webgl-globe
benanne/kaggle-galaxies
koraykv/torch-svm
karpathy/ulogme
karpathy/convnetjs
keras-team/keras
karpathy/karpathy.github.io
soumith/convnet-benchmarks
torch/torch7
udacity/cs344
kuz/DeepMind-Atari-Deep-Q-Learner
Moodstocks/stnbhwd
Moodstocks/gtsrb.torch
soumith/imagenet-multiGPU.torch
datamons/dacOdac
qgis/QGIS-Documentation
DejaLus/demoLibrary
torch/optim
facebookarchive/torchnet
paarthneekhara/neural-vqa-tensorflow
jiasenlu/HieCoAttenVQA
mamoot64/leboncoin-alert
rfussien/leboncoin-crawler
Moodstocks/inception-v3.torch
GT-Vision-Lab/VQA
ryankiros/skip-thoughts
pytorch/vision
chingyaoc/awesome-vqa
torralba-lab/im2recipe
spro/practical-pytorch
meijieru/crnn.pytorch
pytorch/pytorch
fxia22/stn.pytorch
amdegroot/ssd.pytorch
longcw/faster_rcnn_pytorch
alykhantejani/nninit
jwyang/faster-rcnn.pytorch
rwightman/pytorch-dpn-pretrained
facebookresearch/mmf
cdancette/rubi.bootstrap.pytorch
pytorch/rl
