larsgeorge/hbase-book
mhuelfen/travisci-to-googledrive
dcsobral/scala-foreach-benchmark
jexp/batch-import
policecar/deepDB
GoogleCloudPlatform/ipython-soccer-predictions
newTendermint/awesome-bigdata
daqcri/NADEEF
prakhar1989/awesome-courses
SimonWaldherr/HowTo-Deploy-LaTeX-Documents
Quartz/bad-data-guide
getify/You-Dont-Know-JS
probmods/dippl
izubkov/financial-forecasting-ppaml-2016
cestella/streaming_outliers
mahmoudparsian/data-algorithms-book
cpitclaudel/dBoost
jwasham/coding-interview-university
samaxes/jdk8-lambdas-streams-mooc-2016
everpeace/banditsbook-scala
jakevdp/PythonDataScienceHandbook
xxxnell/flex
MaLeLabTs/RegexGenerator
zooniverse/aggregation
zphuangHKUCS/Auto-Detect-released-data
dawenl/glad_cal500
holgern/TUB_PhDThesisTemplate
donnemartin/system-design-primer
weehyong/MLScore
funkyminds/cleanframes-examples
FRosner/drunken-data-quality
awesomedata/awesome-public-datasets
dnl-blkv/mcdowell-cv
firmai/industry-machine-learning
dylanaraps/pure-bash-bible
josephmisiti/awesome-machine-learning
ThoughtWorksInc/cd4ml-workshop
ripienaar/free-for-dev
devopsbookmarks/devopsbookmarks.com
ml-tooling/ml-project-template
cmawer/reproducible-model
thoughtworks/build-your-own-radar
cnvrg/imdb_deploy
itayariel/imdb_keras
adbreind/open-standard-models-2019
mlspec/MLSpec
hundredblocks/ml-powered-applications
fastai/fastbook
ctgk/PRML
jasminevasandani/NLP_Classification_Model_FakeNews
microsoft/MLOps
ageron/handson-ml
alirezadir/Production-Level-Deep-Learning
EthicalML/awesome-production-machine-learning
chetanraj/awesome-github-badges
rasbt/stat453-deep-learning-ss20
mitre/advmlthreatmatrix
