emlai/ivan
microsoft/vcpkg
davisking/dlib
ethereum-mining/ethminer
DurianStallSingapore/ZILMiner
koute/bytehound
compiler-explorer/compiler-explorer
libigl/libigl
acpopescu/bitsandbytes
