sebfisch/uniqueid
fabriceb/sfFacebookConnectPlugin
sjp/GOMstreamer
facebookarchive/scribe
cparedes/knife-file
taruti/network-fancy
eglaysher/find-things-fast
DanielG/ghc-mod
jonlives/knife-spork
ohmyzsh/ohmyzsh
chef/knife-ec2
Homebrew/legacy-homebrew
sous-chefs/ark
sous-chefs/elasticsearch
mokus0/show
sous-chefs/aws
babo/zookeeper_dashboard
moby/moby
haskell/hackage-server
apache/thrift
etsy/skyline
jfarrell/apt-s3
samalba/docker-registry-debug
brint/wordpress-cookbook
sous-chefs/mysql
abesto/easyssh
openzipkin-attic/docker-zipkin
gradle/gradle
0ad/0ad
google/zopfli
facebookarchive/nuclide
jestjs/jest
vercel/hyper
bnb/awesome-hyper
leandromoreira/digital_video_introduction
psf/black
python/cpython
systemd/systemd
python/typeshed
PyconUK/dojo18
overtrack-gg/overtrack-web
doublify/pre-commit-rust
crate-ci/azure-pipelines
pyenv-win/pyenv-win
Instagram/LibCST
omnilib/aioitertools
ethanhs/check_typedpkg
joerohde/vscode-position
Instagram/Fixit
rocket-pool/smartnode
kevinmehall/rust-peg
facebookincubator/Glean
pengutronix/aiohttp-json-rpc
BottlecapDave/HomeAssistant-OctopusEnergy
facebook/usort
Instagram/MonkeyType
python/mypy
hauntsaninja/mypy_primer
hynek/hatch-fancy-pypi-readme
pre-commit/pre-commit.com
ezyang/ghstack
executablebooks/rst-to-myst
hugovk/top-pypi-packages
facebook/sapling
omnilib/vscode-ufmt
facebook/buck2-prelude
Dvad/polars
aleivag/libcst-sandbox
pyenv/pyenv
facebookresearch/dlrm
facebookincubator/dynolog
pytorch/pytorch
pytorch/executorch
magwo/elevatorsaga
pytorch/torchrec
pytorch/torchx
pytorch/tnt
facebookincubator/AITemplate
facebookresearch/d2go
