marshyski/quick-secure
progrium/bashstyle
AMDmi3/freebsd-ports-wip
philips/real-world-kubernetes
kahun/awesome-sysadmin
NixOS/nixpkgs
adambard/learnxinyminutes-docs
yihuang/credis
learnbyexample/Command-line-text-processing
lavie/runlike
geallen/courseraTutorial
bbatsov/prelude
divnix/digga
ripienaar/free-for-dev
chrissanders/packets
GoogleCloudPlatform/terraformer
ericdaugherty/msteams-webhook-go
grafana/helm-charts
