vim-autoformat/vim-autoformat
lansing-makers-network/DEPRECATED---buildlog-lasercutter-marlin
MarlinFirmware/Marlin
kimkulling/openddl-parser
mrdoob/three.js
c0r73x/wallfade
svent/sift
cesanta/v7
rkitover/vimpager
c0r73x/lsext
adnanh/webhook
danakj/openbox
vurtun/nuklear
thestinger/termite
fulhax/ncpamixer
Smoothieware/Smoothieware
oormicreations/BlendShell
kytulendu/gw2browser
DadSchoorse/vkBasalt
Rishi-Bidani/manga-downloader
dairin0d/blender-2.8-scripts
harlanhong/CVPR2022-DaGAN
yoyo-nb/Thin-Plate-Spline-Motion-Model
SlimeVR/SlimeVR-Server
ThereforeGames/txt2mask
TeaM-TL/FotoKilof
Astropulse/sd-palettize
