microsoft/vscode-docs
microsoft/vscode-extension-samples
MicrosoftDocs/cloud-developer-advocates
microsoft/vscode
microsoft/vscode-wiki
microsoft/vscode-remote-try-java
microsoft/vscode-remote-try-python
microsoft/vscode-remote-try-go
microsoft/vscode-remote-try-php
claudiaregio/data-science
microsoft/vscode-remote-try-rust
dotnet/interactive
microsoft/dotnetconf-studentzone
microsoft/vscode-remote-try-dotnet
microsoft/vscode-remote-try-node
microsoft/vscode-l10n
DefinitelyTyped/DefinitelyTyped
dotnet/runtime
learning-zone/website-templates
microsoft/vscode-pull-request-github
minsa110/tech-text-generator
crazy4pi314/universe-qir-demo
github/codespaces-jupyter
MicrosoftDocs/mslearn-python-products
microsoft/CopilotAdventures
devcontainers/devcontainers.github.io
craiglpeters/kubernetes-devcontainer
devcontainers/images
