mozfr/transvision
mozilla-mobile/firefox-ios
mozilla/fxa
mozilla-releng/product-details
mozilla/firefox-translations
mozilla/experimenter-docs
unicode-org/cldr-json
en-wl/wordlist
mozilla-mobile/firefox-android
mozilla-mobile/sync-strings-action
mozilla-mobile/fenix
mozilla/bedrock
mozilla/pontoon
mozilla/addons-frontend
mozilla-l10n/android-l10n
mozilla-l10n/mozilla-vpn-client-l10n
mozilla-l10n/nimbus-l10n
mozilla/pdf.js
mozilla-mobile/focus-ios
zbraniecki/unic-locale
projectfluent/fluent
mozilla-l10n/firefox-l10n-source
