erlang/erlide_eclipse
mb1248/winplacement
ppke-nlpg/purepos
nltk/nltk
dlazesz/Pico
gokmen/Rasta
timonwong/OmniMarkupPreviewer
sloria/textblob-aptagger
mikpanko/expresso
fishkao/rake
recski/HunTag
mybyte/tools
avgl-sstraub/graphipedia
PascalNoisette/dbpedia4neo
phdowling/wiki2vec
SciGraph/SciGraph
KIZI/LinkedHypernymsDataset
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
structureddynamics/UMBEL
sQu4rks/crowsfoot
akrabat/avalanche
noirbizarre/flask-restplus
caesar0301/graphsim
facebookresearch/fastText
Kotlin/kotlin-jupyter
UW-Macrostrat/py-stanford-corenlp
aolieman/pyspotlight
hanula/resume
explosion/spaCy
explosion/spacy-benchmarks
explosion/spacy-dev-resources
trunghlt/PyMPQA
chartbeat-labs/textacy
kalregi/What-sWrong_SVG
alvinwan/md2py
Joshua-Chin/nbsvm
keon/awesome-nlp
jgontrum/connexion-cookiecutter
ashfinal/awesome-hammerspoon
ets-labs/python-vimrc
drivendata/cookiecutter-data-science
tmadl/semisup-learn
gpakosz/.tmux
giacbrd/ShallowLearn
keras-team/keras
zsibritajanos/magyarlanc
frankier/docker-mateplus
google-research-datasets/coarse-discourse
piskvorky/gensim
emanjavacas/seqmod
facebookresearch/SentEval
pytorch/text
IBM/pytorch-seq2seq
khanhptnk/seq2seq-chainer
Kapeli/Dash-User-Contributions
lancelote/pycharm_2016_monokai
perpernorbi/biralat
jvstein/docker-pybossa
jvstein/docker-compose-pybossa
RasaHQ/rasa
rkcosmos/deepcut
robingzk/mchacks2018
seomoz/simhash-py
scrapinghub/python-simhash
alexstaravoitau/cloudlog
sorenlind/lemmy
navdeep-G/setup.py
chenyangh/SemEval2019Task3
tothi/remotethermo
komw/ariston-remotethermo-client
Jekub/Wapiti
jiesutd/NCRFpp
QSFT/Mensa
edglaz/edglaz
nytud/NYTK-NerKor
allenai/allennlp
allenai/allennlp-models
centre-for-humanities-computing/DaCy
explosion/spacy-streamlit
nytud/emtsv
novakat/NYTK-NerKor-Cars-OntoNotesPP
MartinoMensio/spacy-dbpedia-spotlight
szegedai/hun-date-parser
explosion/spacy-experimental
invoke-ai/InvokeAI
anuraghazra/anuraghazra
josephmisiti/awesome-machine-learning
sassbalint/autoszulo
ivan-bilan/The-NLP-Pandect
songyouwei/ABSA-PyTorch
kmkurn/pytorch-crf
NorskRegnesentral/skweak
