SFML/SFML
OpenNI/OpenNI2
TryGhost/Ghost
sass/libsass
TryGhost/Casper
Homebrew/legacy-homebrew
rouge-ruby/rouge
KaTeX/KaTeX
Homebrew/homebrew-core
dlbeer/quirc
rust-lang/rust
llvm-mirror/clang
ietf-wg-cellar/matroska-specification
rust-lang/rfcs
rust-lang/reference
compiler-explorer/infra
compiler-explorer/compiler-explorer
dtolnay/syn
pinterest/PINCache
rust-lang/project-ffi-unwind
rust-lang/www.rust-lang.org
driedfruit/jenkins-minimal-perfect-hash
mdn/content
google/googletest
wasm3/wasm3
envoyproxy/envoy
libsdl-org/SDL
ziglang/zig
