pentaho/pentaho-kettle
pentaho/pentaho-platform
pentaho/pentaho-commons-gwt-modules
pentaho/pentaho-reporting
pentaho/pdi-sdk-plugins
pentaho/pentaho-platform-plugin-reporting
webdetails/cgg
pentaho/pentaho-platform-plugin-common-ui
pentaho/mondrian
pentaho/big-data-plugin
pentaho/ol2
pentaho/pentaho-osgi-bundles
pentaho/data-access
webdetails/cda
marcoslarsen/aws-rekognition
