Lacro59/playnite-successstory-plugin
Lacro59/playnite-descriptioneditor-plugin
gottsch/gottsch-minecraft-LegacyVault
TelepathicGrunt/UltraAmplifiedDimension-Forge
Mrbysco/JustEnoughProfessions
Mithnar/PlayniteVndb
PatchworkMC/patchwork-api
MelanX/botanical-machinery
wwchy/GalTextAll_CN
etnlGD/HLSLDecompiler
SeanPesce/d3d11-wrapper
dog-qiuqiu/FastestDet
AlucardDH/dh-reshade-shaders
zhangboyang/llusbdac
real-zony/ZonyLrcToolsX
allenfrostline/pyNCMDUMP
taurusxin/ncmdump
microsoft/winget-pkgs
