chriskempson/tomorrow-theme
GabrielePrestifilippo/LauzHack_SBB_bot
seandavi/awesome-single-cell
Oshlack/splatter-paper
ykzhou/SIMLR_PY
erikw/tmux-powerline
PMBio/scLVM
jacoblevine/PhenoGraph
DrYak/louvain-community
leereilly/games
hackergarten/hackergarten.github.io
franktheunicorn/fosdem
python/cpython
biopython/biopython
cbg-ethz/pybda
snakemake/snakemake
tensorflow/tensorflow
the-turing-way/the-turing-way
hussius/deeplearning-biology
drop-ice/dear-github-2.0
neuronsimulator/nrn
BlueBrain/spack
BlueBrain/BluePyMM
cbg-ethz/SCICoNE
tarazantv/basic-hacking-lab
BlueBrain/BluePyOpt
MTG/SymbTr
BlueBrain/BluePyEfe
BlueBrain/SimulationTutorials
openai/DALL-E
AudiusProject/audius.org
the-turing-way/the-turing-way
connectomicslab/connectomemapper3
BlueBrain/EModelRunner
TWTranslation/Turkish-specific-Translation-rules
python/mypy
python/mypy
pandas-dev/pandas
apache/spark
tornadoweb/tornado
pytorch/vision
BlueBrain/snap
erg-lang/erg
PyO3/maturin
astral-sh/ruff
emilk/egui
rust-lang/crates.io
RustPython/RustPython
cotes2020/jekyll-theme-chirpy
pandas-dev/pandas-stubs
Softcatala/whisper-ctranslate2
NeurodataWithoutBorders/nwb-overview
zh-plus/openlrc
BlueBrain/eFEL
BlueBrain/neurodamus
AllenInstitute/sonata
furkanonder/akarsu
