tensorflow/tensorflow
lukeiwanski/tensorflow
codeplaysoftware/computecpp-sdk
intel/opencl-intercept-layer
codeplaysoftware/portBLAS
codeplaysoftware/portDNN
halide/Halide
CNugteren/CLBlast
