apache-spark-on-k8s/kubernetes-HDFS
rook/rook
GoogleCloudPlatform/spark-on-k8s-operator
srotya/docker-kafka-mirror-maker
mesosphere/csi-driver-deployments
navneet066/dcos-cheatSheet
geerlingguy/ansible-role-mysql
ansible/ansible
indreshverma/hatespeech-detection
mongodb/mongodb-kubernetes-operator
Wizcorp/node-iap
GoogleCloudPlatform/flink-on-k8s-operator
fluent/fluent-operator
Cidaas/go-interceptor
vinllen/mgo
kubernetes-sigs/kubespray
AlphaStaxLLC/bitnami-docker-mongodb
kubernetes/ingress-nginx
bitnami/charts
bitnami/containers
VictoriaMetrics/helm-charts
projectcontour/contour
rwynn/gtm
