tsmckelvey/yadif
kore/twircd
doctrine/orm
sebastianbergmann/phpunit
phacility/xhprof
nakajima/slidedown
rollxx/antlr-php-runtime
symfony/symfony-docs
kdambekalns/PHPCR
jackalope/jackrabbit-importexport
KnpLabs/KnpBundles
PhilJ/symfony-sandbox
zendframework/zendframework
bergie/hallo
bergie/VIE
liip/LiipThemeBundle
BeSimple/BeSimpleI18nRoutingBundle
BabDev/Pagerfanta
FriendsOfSymfony/FOSUserBundle
sonata-project/SonataAdminBundle
lapistano/proxy-object
symfony/symfony-standard
Pawka/phrozn
max-mapper/monocles
fzaninotto/Faker
willdurand/BazingaFakerBundle
liip/sf2debpkg
liip/LiipFunctionalTestBundle
couchbaselabs/php-couchbase-v2
sensiolabs/SensioFrameworkExtraBundle
symfony/symfony
BorisMorel/LdapBundle
Maks3w/FR3DLdapBundle
composer/composer
ThomasWeinert/FluentDOM
jakobwesthoff/vim-plugin-dirsettings
php-fig/fig-standards
FriendsOfSymfony/FOSRestBundle
FriendsOfSymfony/FOSOAuthServerBundle
Cilex/Cilex
Azure/azure-sdk-for-php
hwi/HWIOAuthBundle
tent/tent.io
phpmd/phpmd
pdepend/pdepend
QafooLabs/testing-setup
fancyapps/fancybox
doctrine/couchdb-odm
maiiku/EWSWrapper
SamirTalwar/Lists
jcoene/statsd-librato
shopware5/shopware
jgmullor/AzureDistributionBundle
xdebug/xdebug
php/php-src
HdrHistogram/HdrHistogram_c
umpirsky/I18nRoutingServiceProvider
mattfinlayson/ansible-consul
HdrHistogram/hdrhistogram-go
jolicode/JoliCi
lytics/anomalyzer
schmittjoh/serializer
perftools/xhgui
opentracing/opentracing.io
laravel/framework
recurly/recurly-client-php
elastic/elasticsearch-php
cvdlab/react-planner
GoogleCloudPlatform/stackdriver-debugger-php-extension
xdebug/xdebug.org
sergeyklay/php-orm-benchmark
opentracing/opentracing-php
thecoshman/http
php/doc-en
phpinternalsbook/PHP-Internals-Book
platformsh/platformsh-docs
mikespook/goemphp
doctrine/dbal
ActiveCampaign/swiftmailer-postmark
webonyx/graphql-php
doctrine/coding-standard
doctrine/annotations
doctrine/cache
doctrine/collections
doctrine/common
php/web-php
doctrine/doctrine-website
FriendsOfPHP/security-advisories
doctrine/DoctrineBundle
dockware/dockware
wardenenv/warden
ThePHPF/thephp.foundation
