ellisonleao/magictools
thangchung/awesome-dotnet-core
mfornos/awesome-microservices
sindresorhus/awesome-electron
vsouza/awesome-ios
matteocrippa/awesome-swift
newTendermint/awesome-bigdata
ericdouglas/ES6-Learning
sindresorhus/awesome-nodejs
xgrommx/awesome-redux
awesome-spark/awesome-spark
academic/awesome-datascience
ChristosChristofidis/awesome-deep-learning
keon/awesome-nlp
awesome-css-group/awesome-css
josephmisiti/awesome-machine-learning
gztchan/awesome-design
enaqx/awesome-react
phodal/awesome-iot
krispo/awesome-haskell
HQarroum/awesome-iot
sbilly/awesome-security
heynickc/awesome-ddd
anaibol/awesome-serverless
pmuens/awesome-serverless
janikvonrotz/awesome-powershell
donnemartin/awesome-aws
infoslack/awesome-kafka
richtr/devopera
xgrommx/awesome-functional-programming
graphql/graphql.github.io
semaphoreci/docs
dslmeinte/blogs
