rapid7/metasploit-framework
toolswatch/blackhat-arsenal-tools
tennc/webshell
EmpireProject/Empire
PowerShellMafia/PowerSploit
Telefonica/ibombshell
byt3bl33d3r/CrackMapExec
pdelteil/PRTG-Network-Monitor-RCE
lsalab/cse253-project
