udacity/frontend-nanodegree-resume
microsoft/CNTK
apache/mxnet
migueldeicaza/TensorFlowSharp
tensorflow/tensorflow
halide/Halide
keras-team/keras
pytorch/pytorch
onnx/onnx
onnx/onnx.github.io
onnx/sigs
Project-MONAI/MONAI
Project-MONAI/model-zoo
Project-MONAI/research-contributions
facebookresearch/dinov2
openai/whisper
