NixOS/nixpkgs
NixOS/nix
c4urself/bump2version
Feneric/doxypypy
open62541/open62541
eProsima/IDL-Parser
eProsima/Fast-DDS-Gen
gabime/spdlog
zlib-ng/minizip-ng
Nitrokey/nitrokey-app
The-OpenROAD-Project/OpenROAD
Stellarium/stellarium
indilib/indi
zeromq/libzmq
