apptainer/apptainer-userdocs
Zverik/bigmap2
coqui-ai/STT
python/cpython
NVIDIA/DeepLearningExamples
mozilla/DeepSpeech
mozilla/DeepSpeech
microsoft/DeepSpeed
microsoft/DeepSpeedExamples
poquirion/distribute2mpi
easybuilders/easybuild-easyblocks
easybuilders/easybuild-easyconfigs
horovod/horovod
tud-zih-ki/minimalDDP
GMAP/NPB-GPU
NVIDIA/nvtx-plugins
osm2pdf/osm2pdf
icl-utk-edu/papi
adrn/schwimmbad
score-p/scorep_binding_python
score-p/scorep_plugin_fileparser
baod-rate/snap-sync
tensorflow/benchmarks
franzscherr/tensorflow_on_slurm
jhollowayj/tensorflow_slurm_manager
