VirtusLab/akka-workshop
VirtusLab/akka-workshop-client
VirtusLab/unicorn
VirtusLab/beholder
sbt/zinc
scalameta/scalafmt
scalacenter/bloop
dotty-staging/dotty
scalameta/metals
scalameta/metals-vscode
scala/scala
scalameta/metals-eclipse
scalameta/scalameta
scalacenter/bloop
pantsbuild/intellij-pants-plugin
pantsbuild/pants
JetBrains/intellij-community
scala/scala-lang
scalameta/metals-languageclient
scala/scala.epfl.ch
scala/scalatest-example.g8
scalameta/mdoc
scala/scala3-example-project
alexarchambault/ammonite-runner
scalameta/munit
com-lihaoyi/PPrint
scalacenter/scaladex
scalacenter/sbt-scalafix
scalacenter/scalafix
scalameta/metaconfig
liancheng/scalafix-organize-imports
scala/vscode-scala-syntax
VirtuslabRnD/codetale-comments
gradle/gradle
scalameta/metabrowse
scalacenter/scala-debug-adapter
emacs-lsp/lsp-metals
scalacenter/nailgun
scalacenter/scala-advent-of-code
scalameta/metals-gitpod-sample
jimka2001/mgs-2022
scalameta/metals-sublime
coursier/apps
VirtusLab/scala-cli
scala/docs.scala-lang
com-lihaoyi/Ammonite
VirtusLab/scala-steward-repos
scala-steward-org/scala-steward
coursier/coursier
scalacenter/sprees
scala-poland/scala-poland-site
JetBrains/bazel-bsp
build-server-protocol/build-server-protocol
