processone/ejabberd
processone/ejabberd-contrib
erlang/otp
processone/tls
processone/docs.ejabberd.im
SamWhited/HttpUploadComponent
getkaiwa/kaiwa
dovecot/core
xsf/xeps
royneary/mod_push
processone/esip
processone/fast_tls
processone/fast_xml
processone/fast_yaml
processone/iconv
processone/stringprep
ChatSecure/ChatSecure-iOS
monitoring-plugins/monitoring-plugins
processone/xmpp
tmolitor-stud-tu/mod_push_appserver
samba-team/samba
processone/cache_tab
sezuan/uploadr
5HT/fs
Bcfg2/bcfg2
iNPUTmice/Conversations
horazont/xmpp-echo-bot
processone/p1_mysql
conversejs/converse.js
xsf/xmpp.org
profanity-im/profanity
ThomasLeister/prosody-filer
processone/stun
zinid/conf
processone/yconf
zinid/yval
erlware/relx
processone/eturnal
palkan/influx_udp
esl/MongooseIM
dnsimple/erldns
processone/p1_utils
erlang/rebar3
starbelly/rebar3_ex_doc
processone/pkix
processone/tsung
igniterealtime/openfire-externalservicediscovery-plugin
monal-im/fpush
badlop/ecaptcha
