mingyuliutw/UNIT
tensorflow/tensorflow
tensorflow/hub
tensorflow/federated
pytorch/pytorch
apache/tvm
LijoyJ/LightweightAI_genn_splice
LijoyJ/anshuman
applibgroup/TVM
applibgroup/StyleTransfer
applibgroup/FoodClassification
applibgroup/HandDetection
applibgroup/VideoActionDetection
amzn/multiconer-baseline
huggingface/optimum
huggingface/optimum-habana
mlcommons/inference
